Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
2	196	1	98	1.0	2.0	98.0	196.0	1	98	1	98	1.0	1.0	98.0	98.0	ping
16	1208	7	662	7.0	16.0	662.0	1208.0	0	0	0	0	0.0	0.0	0.0	0.0	ping
2	196	0	0	0.0	1.0	0.0	98.0	1	98	0	0	0.0	0.5	0.0	49.0	ping
2	196	0	0	0.0	1.0	0.0	98.0	1	98	0	0	0.0	0.5	0.0	49.0	ping
2	196	0	0	0.0	1.0	0.0	98.0	1	98	1	98	1.0	1.0	98.0	98.0	ping
16	1208	7	662	7.0	16.0	662.0	1208.0	0	0	0	0	0.0	0.0	0.0	0.0	ping
2	196	0	0	0.0	1.0	0.0	98.0	1	98	0	0	0.0	0.5	0.0	49.0	ping
2	196	0	0	0.0	1.0	0.0	98.0	1	98	0	0	0.0	0.5	0.0	49.0	ping
2	196	0	0	0.0	1.0	0.0	98.0	1	98	0	0	0.0	0.5	0.0	49.0	ping
16	1208	7	662	7.0	16.0	662.0	1208.0	0	0	0	0	0.0	0.0	0.0	0.0	ping
2	196	0	0	0.0	1.0	0.0	98.0	1	98	0	0	0.0	0.5	0.0	49.0	ping
2	196	0	0	0.0	1.0	0.0	98.0	1	98	0	0	0.0	0.5	0.0	49.0	ping
2	196	0	0	0.0	1.0	0.0	98.0	1	98	0	0	0.0	0.5	0.0	49.0	ping
23	1798	7	590	7.0	11.5	590.0	899.0	0	0	0	0	0.0	0.0	0.0	0.0	ping
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.5	0.0	49.0	ping
2	196	0	0	0.0	1.0	0.0	98.0	1	98	0	0	0.0	0.5	0.0	49.0	ping
2	196	0	0	0.0	1.0	0.0	98.0	1	98	0	0	0.0	0.5	0.0	49.0	ping
23	1798	7	590	7.0	11.5	590.0	899.0	0	0	0	0	0.0	0.0	0.0	0.0	ping
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	ping
2	196	0	0	0.0	1.0	0.0	98.0	1	98	0	0	0.0	0.5	0.0	49.0	ping
2	196	0	0	0.0	1.0	0.0	98.0	1	98	0	0	0.0	0.5	0.0	49.0	ping
23	1798	7	590	7.0	11.5	590.0	899.0	0	0	0	0	0.0	0.0	0.0	0.0	ping
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	ping
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.5	0.0	49.0	ping
2	196	0	0	0.0	1.0	0.0	98.0	1	98	0	0	0.0	0.5	0.0	49.0	ping
23	1798	7	590	7.0	11.5	590.0	899.0	0	0	0	0	0.0	0.0	0.0	0.0	ping
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	ping
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	ping
2	196	0	0	0.0	1.0	0.0	98.0	1	98	0	0	0.0	0.5	0.0	49.0	ping
23	1798	7	590	7.0	11.5	590.0	899.0	0	0	0	0	0.0	0.0	0.0	0.0	ping
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	ping
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	ping
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.5	0.0	49.0	ping
23	1798	7	590	7.0	11.5	590.0	899.0	0	0	0	0	0.0	0.0	0.0	0.0	ping
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	ping
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	ping
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	ping
23	1798	7	590	7.0	11.5	590.0	899.0	0	0	0	0	0.0	0.0	0.0	0.0	ping
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	ping
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	ping
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	ping
23	1798	0	0	0.0	7.666666666666667	0.0	599.3333333333334	0	0	0	0	0.0	0.0	0.0	0.0	ping
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	ping
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	ping
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	ping
23	1798	0	0	0.0	7.666666666666667	0.0	599.3333333333334	0	0	0	0	0.0	0.0	0.0	0.0	ping
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	ping
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	ping
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	ping
23	1798	0	0	0.0	7.666666666666667	0.0	599.3333333333334	0	0	0	0	0.0	0.0	0.0	0.0	ping
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	ping
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	ping
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	ping
23	1798	0	0	0.0	7.666666666666667	0.0	599.3333333333334	0	0	0	0	0.0	0.0	0.0	0.0	ping
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	ping
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	ping
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	ping
23	1798	0	0	0.0	7.666666666666667	0.0	599.3333333333334	0	0	0	0	0.0	0.0	0.0	0.0	ping
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	ping
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	ping
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	ping
23	1798	0	0	0.0	7.666666666666667	0.0	599.3333333333334	0	0	0	0	0.0	0.0	0.0	0.0	ping
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	ping
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	ping
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	ping
23	1798	0	0	0.0	7.666666666666667	0.0	599.3333333333334	0	0	0	0	0.0	0.0	0.0	0.0	ping
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	ping
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	ping
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	ping
23	1798	0	0	0.0	5.75	0.0	449.5	0	0	0	0	0.0	0.0	0.0	0.0	ping
5	434	3	238	3.0	1.0	238.0	86.8	1	98	0	0	0.0	0.25	0.0	24.5	ping
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	ping
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	ping
23	1798	0	0	0.0	5.75	0.0	449.5	0	0	0	0	0.0	0.0	0.0	0.0	ping
5	434	3	238	3.0	1.0	238.0	86.8	4	336	3	238	3.0	0.8	238.0	67.2	ping
